Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Denis MENCHOV,Denis,MENCHOV,RUS,RUS0001,"Tour de France, 2012",RABOBANK,RABOBANK,GEOX-TMC,KATUSHA TEAM,,,,,,,
Carlos SASTRE CANDIL,Carlos,SASTRE CANDIL,ESP,ESP0001,"Giro d'Italia, 2011",CERVELO TEST TEAM,CERVELO TEST TEAM,GEOX-TMC,,,,,,,,
Ivan BASSO,Ivan,BASSO,ITA,ITA0001,"Vuelta a España, 2013",LIQUIGAS,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,CANNONDALE,TINKOFF - SAXO,,,,
Levi LEIPHEIMER,Levi,LEIPHEIMER,USA,USA0001,"Tour de France, 2012",ASTANA,TEAM RADIOSHACK,TEAM RADIOSHACK,OMEGA PHARMA-QUICKSTEP,,,,,,,
Stefano GARZELLI,Stefano,GARZELLI,ITA,ITA0002,"Giro d'Italia, 2013",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ACQUA & SAPONE,,VINI FANTINI - SELLE ITALIA,,,,,,
Michael ROGERS,Michael,ROGERS,AUS,AUS0001,"Tour de France, 2013",TEAM COLUMBIA - HIGH ROAD,TEAM HTC - COLUMBIA,,SKY PROCYCLING,Team SAXO-TINKOFF,TINKOFF-SAXO,TINKOFF - SAXO,,,,
Marzio BRUSEGHIN,Marzio,BRUSEGHIN,ITA,ITA0003,"Vuelta a España, 2011",LAMPRE - N.G.C,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,,,,,,,
David ARROYO DURAN,David,ARROYO DURAN,ESP,ESP0002,"Vuelta a España, 2017",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,,CAJA RURAL - SEGUROS RGA,CAJA RURAL - SEGUROS RGA,CAJA RURAL-SEGUROS RGA,CAJA RURAL-SEGUROS RGA,CAJA RURAL - SEGUROS RGA,,
Jose Rodolfo SERPA PEREZ,Jose Rodolfo,SERPA PEREZ,COL,COL0001,"Tour de France, 2015",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,ANDRONI GIOCATTOLI - C.I.P.I,ANDRONI GIOCATTOLI - VENEZUELA,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,,,,
Kevin SEELDRAEYERS,Kevin,SEELDRAEYERS,BEL,BEL0001,"Tour de France, 2010",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,ASTANA PRO TEAM,,,,,,,
Yaroslav POPOVYCH,Yaroslav,POPOVYCH,UKR,UKR0001,"Vuelta a España, 2015",ASTANA,TEAM RADIOSHACK,TEAM RADIOSHACK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,TREK FACTORY RACING,,,,
