ID,Nominal Stage Number,Actual Stage Number,Last Stage,Race,Year,Is Multi-Stage,Has Prologue,Is A Stage,Date,Depart,Arrive,Length,Type,Profile,Total distance,Total stages,Average distance,Top finishes,Total high mountain stages,Mountain top finishes,Total medium mountain stages,Hill top finishes,Total flat stages,Flat top finishes,Total individual time trial stages,Total individual time trials,Total team time trial stages,Total individual team time trials,Total KOM sprints,Total HC,Total 1st Category,Total 2nd Category,Total 3rd Category,Total 4th Category,Has Records,Starters,Valid Finishers,Finishing Rate,Winner Avg Speed,Median Avg Speed
TDF2009S01,1.0,1.0,,Tour de France,2009,1,0,1.0,20090704.0,Monaco,Monaco,15.5,ITT,Individual Time Trial,,,,,,,,,,,,,,,,,,,,,1.0,180.0,176.0,0.9777777777777776,47.61092150170649,43.559718969555036
TDF2009S02,2.0,2.0,TDF2009S01,Tour de France,2009,1,0,1.0,20090705.0,Monaco,Brignoles,187.0,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,180.0,176.0,0.9777777777777776,41.55042587334897,41.55042587334897
TDF2009S03,3.0,3.0,TDF2009S02,Tour de France,2009,1,0,1.0,20090706.0,Marseille,La Grande-Motte,196.5,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,180.0,175.0,0.9722222222222222,39.11745189117452,39.02896551724138
TDF2009S04,4.0,4.0,TDF2009S03,Tour de France,2009,1,0,1.0,20090707.0,Montpellier,Montpellier,39.0,TTT,Team Time Trial,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
TDF2009S05,5.0,5.0,TDF2009S04,Tour de France,2009,1,0,1.0,20090708.0,Le Cap d'Agde,Perpignan,196.5,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,178.0,174.0,0.9775280898876404,43.73415765069552,43.71523915461624
TDF2009S06,6.0,6.0,TDF2009S05,Tour de France,2009,1,0,1.0,20090709.0,Girona,Barcelona,181.5,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,178.0,173.0,0.9719101123595506,41.63639839418849,41.45150034891836
TDF2009S07,7.0,7.0,TDF2009S06,Tour de France,2009,1,0,1.0,20090710.0,Barcelona,Andorra Arcalis,224.0,IRR,High Mountain,,,,,,,,,,,,,,,,,,,,,1.0,177.0,172.0,0.9717514124293786,36.17603517114531,34.985602198528326
TDF2009S08,8.0,8.0,TDF2009S07,Tour de France,2009,1,0,1.0,20090711.0,Andorra la Vella,Saint-Girons,176.5,IRR,High Mountain,,,,,,,,,,,,,,,,,,,,,1.0,176.0,168.0,0.9545454545454546,38.95769466584917,37.01934281053367
TDF2009S09,9.0,9.0,TDF2009S08,Tour de France,2009,1,0,1.0,20090712.0,Saint-Gaudens,Tarbes,160.5,IRR,High Mountain,,,,,,,,,,,,,,,,,,,,,1.0,172.0,167.0,0.9709302325581396,39.223406421831505,36.433570843054426
TDF2009S10,10.0,10.0,TDF2009S09,Tour de France,2009,1,0,1.0,20090714.0,Limoges,Issodun,194.5,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,171.0,167.0,0.9766081871345028,40.70220310410975,40.70220310410975
TDF2009S11,11.0,11.0,TDF2009S10,Tour de France,2009,1,0,1.0,20090715.0,Vatan,Saint-Fargeau,192.0,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,171.0,166.0,0.9707602339181286,44.66558966074313,44.66558966074313
TDF2009S12,12.0,12.0,TDF2009S11,Tour de France,2009,1,0,1.0,20090716.0,Tonnerre,Vittel,211.5,IRR,Plain,,,,,,,,,,,,,,,,,,,,,1.0,170.0,162.0,0.9529411764705882,43.399452804377574,42.53156071947269
TDF2009S13,13.0,13.0,TDF2009S12,Tour de France,2009,1,0,1.0,20090717.0,Vittel,Colmar,200.0,IRR,Medium Mountain,,,,,,,,,,,,,,,,,,,,,1.0,166.0,160.0,0.9638554216867472,40.48127740919824,37.880780764981324
